task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	b1/2d3904	4112012	RNASEQ:SEQKIT_STATS (ERR12638549)	COMPLETED	0	2025-04-30 10:09:35.778	4.7s	4.1s	6.6%	31.3 MB	1.2 GB	151.8 MB	1.8 KB
1	81/1d8468	4111997	RNASEQ:STAR_INDEX (genomic_h37rv.fna)	COMPLETED	0	2025-04-30 10:09:35.772	9.9s	8.7s	92.6%	1.5 GB	3 GB	86 MB	1.6 GB
11	81/602677	4115408	RNASEQ:FASTP (ERR12638549)	COMPLETED	0	2025-04-30 10:09:40.571	5.4s	4.8s	127.4%	1.3 GB	1.6 GB	247.8 MB	25.6 MB
4	ed/fdedc0	4112089	RNASEQ:SEQKIT_STATS (ERR12638550)	COMPLETED	0	2025-04-30 10:09:35.793	12.2s	10.7s	22.2%	21.2 MB	1.2 GB	3.4 GB	1.8 KB
5	0f/a1e1b6	4112256	RNASEQ:SEQKIT_STATS (ERR12638551)	COMPLETED	0	2025-04-30 10:09:35.820	12.8s	11.8s	18.2%	30.9 MB	1.2 GB	3 GB	1.8 KB
6	37/c476f0	4112028	RNASEQ:SEQKIT_STATS (ERR12638552)	COMPLETED	0	2025-04-30 10:09:35.783	22.7s	21.6s	13.1%	21.7 MB	1.2 GB	3.8 GB	1.8 KB
2	51/c6fa9a	4112303	RNASEQ:SEQKIT_STATS (ERR12638548)	COMPLETED	0	2025-04-30 10:09:35.828	25.5s	24.5s	11.7%	29.8 MB	1.2 GB	3.9 GB	1.8 KB
12	7f/7364ab	4118664	RNASEQ:STAR_ALIGN (ERR12638549)	COMPLETED	0	2025-04-30 10:09:45.984	15.6s	15s	92.2%	1.7 GB	3.4 GB	1.7 GB	121.4 MB
7	17/6f546d	4112061	RNASEQ:SEQKIT_STATS (ERR12638553)	COMPLETED	0	2025-04-30 10:09:35.788	27.7s	27.1s	10.7%	31 MB	1.2 GB	4 GB	1.8 KB
17	64/41f999	4124541	RNASEQ:SAMTOOLS_VIEW (ERR12638549)	COMPLETED	0	2025-04-30 10:10:01.626	3.1s	2.2s	83.9%	9.4 MB	228.1 MB	121.5 MB	22.6 MB
