task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	59/de2e8b	186932	RNASEQ:SEQKIT_STATS (ERR12638549)	COMPLETED	0	2025-04-30 10:41:26.989	6.2s	3.7s	8.0%	31.2 MB	1.2 GB	151.8 MB	1.8 KB
1	d0/2c0279	186765	RNASEQ:STAR_INDEX (genomic_h37rv.fna)	COMPLETED	0	2025-04-30 10:41:26.914	10.8s	8.8s	87.8%	1.5 GB	3 GB	86 MB	1.6 GB
11	3b/324cee	190392	RNASEQ:FASTP (ERR12638549)	COMPLETED	0	2025-04-30 10:41:33.322	6.1s	4.6s	132.5%	1.3 GB	1.6 GB	247.8 MB	25.6 MB
12	82/dedc49	193988	RNASEQ:STAR_ALIGN (ERR12638549)	COMPLETED	0	2025-04-30 10:41:39.468	16.3s	15.7s	96.2%	1.7 GB	3.4 GB	1.7 GB	121.4 MB
13	eb/f09995	198618	RNASEQ:SAMTOOLS_VIEW (ERR12638549)	COMPLETED	0	2025-04-30 10:41:55.792	4.2s	3.7s	48.9%	10 MB	228.1 MB	121.5 MB	22.6 MB
14	88/8e1070	199257	RNASEQ:SAMTOOLS_SORT (ERR12638549)	COMPLETED	0	2025-04-30 10:41:59.982	2.6s	2s	86.3%	155.5 MB	941.2 MB	22.8 MB	14 MB
6	80/d49d03	187108	RNASEQ:SEQKIT_STATS (ERR12638552)	COMPLETED	0	2025-04-30 10:41:27.079	42.7s	40.2s	8.5%	31.5 MB	1.2 GB	3.8 GB	1.8 KB
5	8a/c516ae	186955	RNASEQ:SEQKIT_STATS (ERR12638551)	COMPLETED	0	2025-04-30 10:41:26.997	45.9s	43.3s	6.0%	23 MB	1.2 GB	3 GB	1.8 KB
2	83/d8aa20	186818	RNASEQ:SEQKIT_STATS (ERR12638548)	COMPLETED	0	2025-04-30 10:41:26.946	46.5s	43.8s	7.7%	31.6 MB	1.2 GB	3.9 GB	1.8 KB
4	d9/2adc43	186842	RNASEQ:SEQKIT_STATS (ERR12638550)	COMPLETED	0	2025-04-30 10:41:26.959	49.4s	46.8s	6.3%	21.9 MB	1.2 GB	3.4 GB	1.8 KB
9	1e/491dcb	187081	RNASEQ:SEQKIT_STATS (ERR12638555)	COMPLETED	0	2025-04-30 10:41:27.048	50.8s	48.3s	7.2%	21.9 MB	1.2 GB	3.9 GB	1.8 KB
15	e2/680f88	200040	RNASEQ:HTSEQ_COUNT (ERR12638549)	COMPLETED	0	2025-04-30 10:42:02.644	26s	23.2s	81.8%	52.9 MB	4.9 GB	27.5 MB	42.2 KB
