task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	9f/346ec0	1129346	RNASEQ:SEQKIT_STATS (ERR12638549)	COMPLETED	0	2025-04-29 15:06:24.520	2.9s	1.7s	20.0%	31 MB	1.2 GB	151.8 MB	1.8 KB
1	0e/a549e0	1129382	RNASEQ:BOWTIE2_BUILD (genomic_h37rv.fna)	COMPLETED	0	2025-04-29 15:06:24.531	6.5s	5.1s	56.3%	113.9 MB	188.5 MB	18.2 MB	14 MB
6	7b/06eca1	1129417	RNASEQ:SEQKIT_STATS (ERR12638552)	COMPLETED	0	2025-04-29 15:06:24.537	19.4s	18.3s	14.8%	32.2 MB	1.2 GB	3.8 GB	1.8 KB
11	b9/201ace	1131864	RNASEQ:TRIMGALORE (ERR12638549)	COMPLETED	0	2025-04-29 15:06:27.554	23.9s	22.7s	79.3%	275.1 MB	3.9 GB	577.5 MB	254.4 MB
5	bb/9590d1	1129460	RNASEQ:SEQKIT_STATS (ERR12638551)	COMPLETED	0	2025-04-29 15:06:24.548	46.6s	45.4s	5.6%	32 MB	1.2 GB	3 GB	1.8 KB
13	a3/d2bbed	1141818	RNASEQ:BOWTIE2_ALIGN (ERR12638549)	COMPLETED	0	2025-04-29 15:06:51.481	20.2s	19.8s	181.3%	38.2 MB	365 MB	35.1 MB	135 MB
15	f1/94aecc	1148195	RNASEQ:SAMTOOLS_VIEW (ERR12638549)	COMPLETED	0	2025-04-29 15:07:11.686	3.1s	2.3s	75.2%	11.5 MB	228.1 MB	135.1 MB	24.4 MB
16	a5/31488e	1149804	RNASEQ:SAMTOOLS_SORT (ERR12638549)	COMPLETED	0	2025-04-29 15:07:14.796	2.4s	2s	96.4%	163.6 MB	941.2 MB	24.6 MB	15.3 MB
7	51/4b8162	1129524	RNASEQ:SEQKIT_STATS (ERR12638553)	COMPLETED	0	2025-04-29 15:06:24.562	53.6s	52.4s	6.4%	31.9 MB	1.2 GB	4 GB	1.8 KB
17	bd/8e1fa2	1150639	RNASEQ:FEATURECOUNTS (ERR12638549)	COMPLETED	0	2025-04-29 15:07:17.166	1.6s	623ms	61.8%	6.3 MB	25.1 MB	20.4 MB	175 KB
4	80/1a2902	1129332	RNASEQ:SEQKIT_STATS (ERR12638550)	COMPLETED	0	2025-04-29 15:06:24.513	54.4s	53.2s	5.2%	31.8 MB	1.2 GB	3.4 GB	1.8 KB
9	cd/d4f894	1129316	RNASEQ:SEQKIT_STATS (ERR12638555)	COMPLETED	0	2025-04-29 15:06:24.499	57.8s	56.5s	5.9%	30.9 MB	1.2 GB	3.9 GB	1.8 KB
10	a2/fac19b	1129363	RNASEQ:SEQKIT_STATS (ERR12638556)	COMPLETED	0	2025-04-29 15:06:24.525	1m 2s	1m 1s	5.8%	31.2 MB	1.2 GB	4.3 GB	1.8 KB
2	51/ff8d1c	1129439	RNASEQ:SEQKIT_STATS (ERR12638548)	COMPLETED	0	2025-04-29 15:06:24.543	1m 6s	1m 5s	4.8%	31.7 MB	1.2 GB	3.9 GB	1.8 KB
8	92/7876b4	1129490	RNASEQ:SEQKIT_STATS (ERR12638554)	COMPLETED	0	2025-04-29 15:06:24.555	1m 13s	1m 12s	7.0%	22 MB	1.2 GB	6.1 GB	1.8 KB
14	f6/b58a04	1147862	RNASEQ:TRIMGALORE (ERR12638551)	COMPLETED	0	2025-04-29 15:07:11.184	4m 2s	4m 1s	88.1%	484.8 MB	3.9 GB	8.2 GB	4.9 GB
12	52/2358c9	1139644	RNASEQ:TRIMGALORE (ERR12638552)	COMPLETED	0	2025-04-29 15:06:43.981	5m 5s	5m 5s	90.4%	479.3 MB	3.7 GB	10.4 GB	6.3 GB
19	27/84b1fe	1151832	RNASEQ:TRIMGALORE (ERR12638550)	COMPLETED	0	2025-04-29 15:07:18.903	5m 18s	5m 18s	90.4%	558.5 MB	3.8 GB	9.3 GB	5.6 GB
20	bf/fd69e8	1153508	RNASEQ:TRIMGALORE (ERR12638555)	COMPLETED	0	2025-04-29 15:07:22.325	5m 25s	5m 24s	87.2%	571.4 MB	3.9 GB	10.6 GB	6.4 GB
18	d5/9f1aaa	1151326	RNASEQ:TRIMGALORE (ERR12638553)	COMPLETED	0	2025-04-29 15:07:18.137	5m 35s	5m 35s	88.4%	599.5 MB	3.8 GB	10.9 GB	6.6 GB
21	2a/a02898	1155216	RNASEQ:TRIMGALORE (ERR12638556)	COMPLETED	0	2025-04-29 15:07:26.371	5m 45s	5m 44s	91.6%	581.7 MB	3.9 GB	11.7 GB	7.1 GB
22	fa/8a2846	1157758	RNASEQ:TRIMGALORE (ERR12638548)	COMPLETED	0	2025-04-29 15:07:31.021	6m 16s	6m 16s	87.2%	486.7 MB	3.7 GB	10.6 GB	6.4 GB
23	25/d07f94	1160966	RNASEQ:TRIMGALORE (ERR12638554)	COMPLETED	0	2025-04-29 15:07:37.273	8m 9s	8m 8s	89.5%	483.5 MB	3.9 GB	16.4 GB	10 GB
24	ff/927dc5	1236926	RNASEQ:BOWTIE2_ALIGN (ERR12638551)	COMPLETED	0	2025-04-29 15:11:13.066	8m 17s	8m 17s	149.5%	38.7 MB	365.2 MB	386.7 MB	2.6 GB
