task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	10/9f30e5	1541422	RNASEQ:SEQKIT_STATS (ERR12638549)	COMPLETED	0	2025-04-29 15:36:08.349	3.6s	2.9s	10.6%	22.3 MB	1.2 GB	151.8 MB	1.8 KB
2	02/347c69	1541124	RNASEQ:STAR_INDEX (genomic_h37rv.fna)	COMPLETED	0	2025-04-29 15:36:08.279	11.2s	9.3s	88.6%	1.5 GB	3 GB	86 MB	1.6 GB
11	15/3d959c	1543785	RNASEQ:TRIMGALORE (ERR12638549)	COMPLETED	0	2025-04-29 15:36:12.009	18.5s	18.1s	107.5%	435.9 MB	3.7 GB	577.5 MB	254.4 MB
12	2e/7886b6	1551530	RNASEQ:STAR_ALIGN (ERR12638549)	COMPLETED	0	2025-04-29 15:36:30.527	16.5s	16.1s	97.0%	1.7 GB	3.4 GB	1.6 GB	121.9 MB
13	97/b081e9	1555520	RNASEQ:SAMTOOLS_VIEW (ERR12638549)	COMPLETED	0	2025-04-29 15:36:47.115	4.9s	4.3s	51.7%	9.9 MB	228.1 MB	122 MB	23.6 MB
14	0b/b521f9	1556716	RNASEQ:SAMTOOLS_SORT (ERR12638549)	COMPLETED	0	2025-04-29 15:36:52.040	2.6s	2.3s	82.5%	156.1 MB	941.2 MB	23.7 MB	14.7 MB
6	e0/c33b87	1541101	RNASEQ:SEQKIT_STATS (ERR12638552)	COMPLETED	0	2025-04-29 15:36:08.232	47.3s	46.6s	7.0%	30.6 MB	1.2 GB	3.8 GB	1.8 KB
7	3b/851f07	1541303	RNASEQ:SEQKIT_STATS (ERR12638553)	COMPLETED	0	2025-04-29 15:36:08.328	58.9s	58.3s	6.1%	31.9 MB	1.2 GB	4 GB	1.8 KB
15	fd/d4b446	1557307	RNASEQ:HTSEQ_COUNT (ERR12638549)	COMPLETED	0	2025-04-29 15:36:54.667	22.7s	21.1s	91.0%	52.9 MB	4.9 GB	28.2 MB	42.2 KB
4	53/d0fa18	1541198	RNASEQ:SEQKIT_STATS (ERR12638550)	COMPLETED	0	2025-04-29 15:36:08.298	1m 11s	1m 11s	4.1%	32 MB	1.2 GB	3.4 GB	1.8 KB
10	54/44b90a	1541111	RNASEQ:SEQKIT_STATS (ERR12638556)	COMPLETED	0	2025-04-29 15:36:08.261	1m 29s	1m 28s	4.4%	32.3 MB	1.2 GB	4.3 GB	1.8 KB
5	b3/882b49	1541138	RNASEQ:SEQKIT_STATS (ERR12638551)	COMPLETED	0	2025-04-29 15:36:08.286	1m 46s	1m 46s	2.6%	30.4 MB	1.2 GB	3 GB	1.8 KB
