"Task","Total_Duration_s","Total_CPU","Total_Peak_RSS","Total_Peak_VMEM","Total_RCHAR","Total_WCHAR","Workflow"
"WORKFLOW",4697.7,50.119,8321.4,4931.6,8765,NA,"FSF"
"FASTP",314.4,16.446,13.6,16.3,281,5065.1,"FSF"
"STAR",3081.5,8.794,16.8,33.6,132.1,148.7,"FSF"
"FEATURECOUNTS",67.4,8.391,193.5,1866.6,2309.8,NA,"FSF"
"WORKFLOW",8596.8,48.434,8583.1,3109.2,8840.7,NA,"FSH"
"FASTP",288.1,17.736,13.7,16.3,281,5065.1,"FSH"
"STAR",2996.1,8.863,16.8,33.6,132.1,148.7,"FSH"
"HTSEQ",3527,8.381,477.6,44.1,2384.5,NA,"FSH"
"WORKFLOW",10038.6,44.618,13206.3,16581.1,14034.5,NA,"TBF"
"FEATURECOUNTS",78.3,8.114,178.2,1684.3,2529,NA,"TBF"
"TRIMGALORE",2758.9,7.921,4520.5,34.5,665.6,307.7,"TBF"
"BOWTIE2",5399.7,14.423,462.7,3666.7,4391.2,177.6,"TBF"
"WORKFLOW",16762.8,39.27,13431.8,15027.1,14110.4,NA,"TBH"
"HTSEQ",4997.6,6.608,477.2,44.1,2603.9,NA,"TBH"
"TRIMGALORE",3079.6,7.372,4498.2,34.2,665.6,307.7,"TBH"
"BOWTIE2",6851.6,12.973,462.3,3731.1,4391.2,177.6,"TBH"
"WORKFLOW",7786.4,42.895,12789.6,4949.3,9477.2,NA,"TSF"
"STAR",3245.7,8.988,16.8,33.6,124.3,149.2,"TSF"
"FEATURECOUNTS",68.2,8.623,180.7,1866.6,2394,NA,"TSF"
"TRIMGALORE",2484.3,8.746,4510,34,665.6,307.7,"TSF"
"WORKFLOW",12182.6,38.223,12921.3,3126.8,9553,NA,"TSH"
"STAR",3196.7,9.266,16.8,33.6,124.3,149.2,"TSH"
"HTSEQ",3540.7,8.756,477.1,44.1,2468.8,NA,"TSH"
"TRIMGALORE",3028.5,7.707,4315.4,34.3,665.6,307.7,"TSH"
